romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
abak,abak,abːako,abako
abanos,ebɛn,ebano,ebano
abatesə,ab,abːadesːa,abadesa
abdika,abdike,abdikare,abdikaɾ
aberat͡sie,abɛrratjɔ̃,aberːasione,aberasion
abʒekt,abʒɛkt,abietːo,abiekto
ablat͡siune,ablatjɔ̃,ablasione,ablasion
ablativ,ablatjf,ablativo,ablatibo
ablut͡siune,ablytjɔ̃,ablusione,ablusion
abneɡat͡sie,abneɡatjɔ̃,abneɡasione,abneɡasion
aboli,abɔlir,abolire,aboliɾ
abominabil,abɔminabl,abominabile,abominable
abortiv,abɔrtjf,abortivo,aboɾtibo
absent,ab,asːente,ausente
absent͡sə,absɛn,asːensa,ausensia
absint,absint,asːensio,axenxo
absorbi,absɔrbe,asːorbire,absoɾbeɾ
abstinent,abstjn,astinente,abstinente
abstinent͡sə,abstjnɛn,astinensa,abstinensia
abstrakt͡sie,abstraktjɔ̃,astrasione,abstɾaksion
abstrakt͡siune,abstraktjɔ̃,astrasione,abstɾaksion
absurd,absyrd,asːurdo,absuɾdo
abunda,abɔndan,abːondare,abundaɾ
abundent͡sə,abɔndan,abːondansa,abundansia
abuz,aby,abuso,abuso
akat͡ʃie,akakja,akat͡ʃa,akasia
akademie,akademj,akademia,akademja
akademik,akademik,akademiko,akademiko
akət͡sa,ʃase,kat͡ʃːare,kasaɾ
akt͡ʃelera,akselere,at͡ʃːelerare,aseleɾaɾ
akt͡ʃelerat͡sie,akseleratjɔ̃,at͡ʃːelerasione,aseleɾasion
akt͡ʃelerat͡siune,akseleratjɔ̃,at͡ʃːelerasione,aseleɾasion
akt͡ʃepta,aksɛpte,at͡ʃːetːare,aseptaɾ
akt͡ʃesibil,aksɛsibl,at͡ʃːesːibile,aksesible
at͡ʃel,azɛla,kuelːo,akel
at͡ʃid,azi,at͡ʃido,asido
aklama,akklame,akːlamare,aklamaɾ
aklamat͡sie,akklamatjɔ̃,akːlamasione,aklamasion
akomoda,akkɔmɔde,akːomodare,akomodaɾ
akru,akr,akro,aɡɾjo
akt͡siune,aktjɔ̃,asione,aksion
aktiv,aktjf,atːivo,aktibo
aktivitate,aktjvite,atːivita,aktibidad
akumula,akkymyle,akːumulare,akumulaɾ
akuzativ,akkyzatjf,akːusativo,akusatibo
akvariu,akarjɥə̃,akkuario,akwaɾjo
akvatik,akatjk,akkuatiko,akwatiko
akvilə,ɛɡl,akuila,aɡila
adad͡ʒiu,adaʒ,adad͡ʒːo,adaxio
adapta,adaptabil,adatːare,adaptaɾ
adera,ade,aderire,adeɾiɾse
adeziune,adesjɔ̃,adesione,adesjon
adiat͡ʃent,adjaz,adiat͡ʃente,adiasente
adʒektiv,adʒɛktjf,ad͡ʒːetːivo,adxetibo
adʒutant,adʒydan,adiutante,aiudante
administrat͡sie,administratjɔ̃,amːinistrasione,administɾasion
administrat͡siune,administratjɔ̃,amːinistrasione,administɾasion
administrator,administratœr,amːinistratore,administɾadoɾ
admira,admirabil,amːirare,admiɾaɾ
admirat͡sie,admiratjɔ̃,amːirasione,admiɾasion
admirat͡siune,admiratjɔ̃,amːirasione,admiɾasion
admite,admɛtr,amːetːere,admitiɾ
admisiune,admisjɔ̃,amːisːione,admisjon
adolest͡ʃent,adɔlɛz,adolest͡ʃente,adolessente
adopta,adɔpte,adotːare,adoptaɾ
adopt͡sie,adɔptjɔ̃,adosione,adopsion
adoptiv,adɔptjf,adotːivo,adoptibo
adorabil,adɔrabl,adorabile,adoɾable
adorator,adɔratœr,adoratore,adoɾadoɾ
adut͡ʃe,adɥir,adːurːe,adusiɾ
adult,adylt,adulto,adulto
adulter,adyltɛr,adulterio,adulteɾjo
adverb,advɛrb,avːerbio,adbeɾbjo
adverbial,advɛrbjal,avːerbiale,adbeɾbjal
adversar,advɛrsɛr,avːersario,adbeɾsaɾjo
adversitate,advɛrsite,avːersita,adbeɾsidad
aer,ɛr,aria,aiɾe
afabil,afabl,afːabile,afable
afabilitate,afabilite,afːabilita,afabilidad
afekta,afɛt́,afːetare,afektaɾ
afektat͡sie,afɛktatjɔ̃,afːetːasione,afektasion
afektiv,afɛktjf,afːetːivo,afektibo
afinitate,afinite,afːinita,afinidad
afluent,aflɥ,afːluente,aflwente
aforism,afɔrism,aforizma,afoɾismo
afunda,afɔnde,afːondare,afondaɾ
ad͡ʒent,a,ad͡ʒente,axente
